bundle,type,place,date
me.mycake,education|apps_topselling_paid,0,2020-12-01 07:21:35.115507
com.lingualeo.android,education|apps_topselling_free,46,2020-12-01 07:24:20.077555
com.lingualeo.android,education|apps_topgrossing,2,2020-12-01 07:24:23.88885
com.lingualeo.android,education|apps_movers_shakers,0,2020-12-01 07:24:25.285167
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-01 07:24:26.111687
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,226,2020-12-02 06:54:05.713773
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,23,2020-12-02 06:54:09.505409
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,0,2020-12-02 06:54:11.738001
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-02 06:54:12.777815
com.ewa.ewaapp,education|apps_topselling_free,18,2020-12-02 06:57:35.33261
com.ewa.ewaapp,education|apps_topgrossing,4,2020-12-02 06:57:39.088486
com.ewa.ewaapp,education|apps_movers_shakers,2,2020-12-02 06:57:41.206838
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-02 06:57:42.21384
com.atistudios.mondly.languages,education|apps_topselling_free,317,2020-12-02 07:00:39.444441
com.atistudios.mondly.languages,education|apps_topgrossing,26,2020-12-02 07:00:43.397667
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-02 07:00:45.49773
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-02 07:00:46.522193
com.wlingua.curso,education|apps_topselling_free,0,2020-12-02 07:03:33.072406
com.wlingua.curso,education|apps_topgrossing,0,2020-12-02 07:03:37.493056
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-02 07:03:39.608561
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-02 07:03:40.601912
com.quizlet.quizletandroid,education|apps_topselling_free,45,2020-12-02 07:06:35.804829
com.quizlet.quizletandroid,education|apps_topgrossing,29,2020-12-02 07:06:39.294432
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-02 07:06:41.361907
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-02 07:06:42.278184
com.memrise.android.memrisecompanion,education|apps_topselling_free,190,2020-12-02 07:09:34.095979
com.memrise.android.memrisecompanion,education|apps_topgrossing,11,2020-12-02 07:09:37.733736
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-02 07:09:39.881868
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-02 07:09:40.778714
com.busuu.android.enc,education|apps_topselling_free,42,2020-12-02 07:12:34.720474
com.busuu.android.enc,education|apps_topgrossing,9,2020-12-02 07:12:38.943845
com.busuu.android.enc,education|apps_movers_shakers,82,2020-12-02 07:12:41.021196
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-02 07:12:41.942444
com.duolingo,education|apps_topselling_free,7,2020-12-02 07:21:18.54212
com.duolingo,education|apps_topgrossing,6,2020-12-02 07:21:22.521764
com.duolingo,education|apps_movers_shakers,0,2020-12-02 07:21:24.822157
com.duolingo,education|apps_topselling_paid,0,2020-12-02 07:21:25.793851
me.mycake,education|apps_topselling_free,4,2020-12-02 07:24:06.644384
me.mycake,education|apps_topgrossing,0,2020-12-02 07:24:10.336659
me.mycake,education|apps_movers_shakers,0,2020-12-02 07:24:12.429591
me.mycake,education|apps_topselling_paid,0,2020-12-02 07:24:13.365839
com.lingualeo.android,education|apps_topselling_free,47,2020-12-02 07:27:01.059906
com.lingualeo.android,education|apps_topgrossing,2,2020-12-02 07:27:04.803686
com.lingualeo.android,education|apps_movers_shakers,98,2020-12-02 07:27:06.857844
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-02 07:27:07.810517
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,223,2020-12-03 06:57:02.308829
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,23,2020-12-03 06:57:05.824901
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,0,2020-12-03 06:57:08.161289
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-03 06:57:09.219646
com.ewa.ewaapp,education|apps_topselling_free,14,2020-12-03 07:00:22.069129
com.ewa.ewaapp,education|apps_topgrossing,3,2020-12-03 07:00:25.848934
com.ewa.ewaapp,education|apps_movers_shakers,3,2020-12-03 07:00:28.11445
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-03 07:00:29.214282
com.atistudios.mondly.languages,education|apps_topselling_free,315,2020-12-03 07:03:31.215604
com.atistudios.mondly.languages,education|apps_topgrossing,26,2020-12-03 07:03:34.591386
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-03 07:03:36.711308
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-03 07:03:37.688053
com.wlingua.curso,education|apps_topselling_free,0,2020-12-03 07:06:21.360108
com.wlingua.curso,education|apps_topgrossing,0,2020-12-03 07:06:24.996872
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-03 07:06:27.300355
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-03 07:06:28.350903
com.quizlet.quizletandroid,education|apps_topselling_free,42,2020-12-03 07:09:21.31196
com.quizlet.quizletandroid,education|apps_topgrossing,29,2020-12-03 07:09:24.948351
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-03 07:09:27.103999
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-03 07:09:28.114766
com.memrise.android.memrisecompanion,education|apps_topselling_free,205,2020-12-03 07:12:17.97068
com.memrise.android.memrisecompanion,education|apps_topgrossing,10,2020-12-03 07:12:21.688371
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-03 07:12:24.080048
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-03 07:12:24.985901
com.busuu.android.enc,education|apps_topselling_free,46,2020-12-03 07:15:22.560702
com.busuu.android.enc,education|apps_topgrossing,9,2020-12-03 07:15:26.445532
com.busuu.android.enc,education|apps_movers_shakers,90,2020-12-03 07:15:28.762738
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-03 07:15:29.734237
com.duolingo,education|apps_topselling_free,8,2020-12-03 07:24:11.06942
com.duolingo,education|apps_topgrossing,6,2020-12-03 07:24:14.924541
com.duolingo,education|apps_movers_shakers,0,2020-12-03 07:24:17.127489
com.duolingo,education|apps_topselling_paid,0,2020-12-03 07:24:18.17742
me.mycake,education|apps_topselling_free,6,2020-12-03 07:26:49.74108
me.mycake,education|apps_topgrossing,0,2020-12-03 07:26:53.194836
me.mycake,education|apps_movers_shakers,23,2020-12-03 07:26:55.333721
me.mycake,education|apps_topselling_paid,0,2020-12-03 07:26:56.324255
com.lingualeo.android,education|apps_topselling_free,47,2020-12-03 07:29:46.748824
com.lingualeo.android,education|apps_topgrossing,2,2020-12-03 07:29:50.120446
com.lingualeo.android,education|apps_movers_shakers,0,2020-12-03 07:29:52.315901
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-03 07:29:53.229406
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,235,2020-12-04 06:59:58.232928
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,22,2020-12-04 07:00:01.845832
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,0,2020-12-04 07:00:04.202173
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-04 07:00:05.179609
com.ewa.ewaapp,education|apps_topselling_free,9,2020-12-04 07:03:13.098264
com.ewa.ewaapp,education|apps_topgrossing,3,2020-12-04 07:03:16.490903
com.ewa.ewaapp,education|apps_movers_shakers,4,2020-12-04 07:03:18.717725
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-04 07:03:19.715348
com.atistudios.mondly.languages,education|apps_topselling_free,316,2020-12-04 07:06:24.294593
com.atistudios.mondly.languages,education|apps_topgrossing,28,2020-12-04 07:06:27.977126
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-04 07:06:30.298963
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-04 07:06:31.271663
com.wlingua.curso,education|apps_topselling_free,0,2020-12-04 07:09:16.586434
